,lat,lon,name,place_name,amenity_pharmacy,amenity_restaurant,amenity_school,amenity_cafe,amenity_hospital,amenity_bank,leisure_fitness_centre,leisure_sports_centre,cluster,cluster_label
26,12.948662538141212,77.69324378434456,Tower C,Marathahalli,11.0,72.0,3,3.0,4.0,10.0,1.0,8.0,3,Urban Residential / Leisure Focused
27,13.050631757199147,77.5956613759827,Tower 9,Hebbal,7.0,41.0,9,5.0,5.0,6.0,1.0,5.0,0,Residential / Low Amenities
28,13.003469038995805,77.62328258366549,Samrat,Lingarajapuram,21.0,31.0,13,14.0,7.0,22.0,4.0,6.0,3,Urban Residential / Leisure Focused
29,12.863477574540092,77.53678481163949,Tower 7,Judicial Layout Phase II,4.0,7.0,6,2.0,0.0,2.0,0.0,1.0,0,Residential / Low Amenities
30,12.907598950003244,77.5527782499994,Niveditha Apartments,Uttarahalli,6.0,8.0,9,2.0,5.0,11.0,1.0,0.0,0,Residential / Low Amenities
31,13.014388174401956,77.57922935584158,Ranka Enclave,Sadashivanagar,7.0,19.0,9,13.0,5.0,17.0,2.0,3.0,0,Residential / Low Amenities
32,12.866154345396437,77.58037497511613,Radiant Elitaire,Gottigere,0.0,3.0,10,0.0,1.0,2.0,2.0,1.0,0,Residential / Low Amenities
33,12.980663100063607,77.69532610004387,Vrr Elegance,Bengaluru,5.0,29.0,4,3.0,3.0,4.0,2.0,5.0,0,Residential / Low Amenities
34,12.9975030245557,77.5834248567851,Fascinate Manor,Vasanth Nagar,9.0,28.0,11,10.0,7.0,26.0,4.0,1.0,2,Mixed Residential / Institutional
35,12.998772868172658,77.62292535160839,Laxmi Nivas,Lingarajapuram,19.0,34.0,19,14.0,5.0,24.0,6.0,6.0,3,Urban Residential / Leisure Focused
36,12.991426685726385,77.70168302117307,A Block,Mahadevapura,2.0,19.0,4,9.0,3.0,6.0,2.0,4.0,0,Residential / Low Amenities
37,12.918021113418606,77.67385782584381,Pratle - 1E,Haralur,9.0,57.0,6,25.0,18.0,29.0,8.0,3.0,3,Urban Residential / Leisure Focused
38,12.999064150012787,77.62298985001134,Gp Nest,Lingarajapuram,20.0,34.0,19,14.0,6.0,25.0,6.0,6.0,3,Urban Residential / Leisure Focused
39,12.907048897184477,77.6788196139563,Vaishanavi Orchid,Junnasandra,6.0,24.0,3,13.0,10.0,14.0,3.0,7.0,3,Urban Residential / Leisure Focused
40,12.916406015800488,77.69667244141577,Block-J,Doddakannalli,6.0,8.0,6,1.0,0.0,2.0,1.0,0.0,0,Residential / Low Amenities
41,12.927888582415328,77.6990415301339,G-2,Panathur,2.0,11.0,6,4.0,1.0,2.0,1.0,5.0,0,Residential / Low Amenities
42,12.995590313535862,77.73100072361363,Tower 14,Hoodi,0.0,22.0,1,6.0,5.0,1.0,1.0,3.0,0,Residential / Low Amenities
43,12.991321471712261,77.61593352742351,Redifice Arlington Promenade,Frazer Town,11.0,48.0,24,14.0,13.0,26.0,7.0,6.0,3,Urban Residential / Leisure Focused
